municipality_id;vaccine_skeptic
70701;1
50201;1
50202;1
50202;1
50301;1
40402;1
61207;1
50205;1
50205;1
30603;1
30604;1
30604;1
61626;1
80205;1
80103;1
40404;1
40404;1
80207;1
70402;1
41403;1
80301;1
80301;1
80301;1
31356;1
80211;1
10101;1
31203;1
80404;1
31311;1
40705;1
50410;1
50401;1
80408;1
60101;1
60101;1
60101;1
60101;1
60101;1
60101;1
60101;1
60101;1
60101;1
60101;1
32530;1
70354;1
50205;1
50205;1
50205;1
31912;1
31912;1
70101;1
70101;1
70101;1
20101;1
20101;1
20101;1
20101;1
20101;1
20101;1
20101;1
20101;1
20101;1
20101;1
32144;1
32144;1
32144;1
61631;1
30101;1
30101;1
32135;1
50207;1
50207;1
50207;1
50207;1
70513;1
70513;1
70513;1
40711;1
31322;1
31214;1
70325;1
32316;1
80224;1
80224;1
30620;1
41012;1
70716;1
31407;1
40101;1
40101;1
40101;1
40101;1
40101;1
40101;1
40101;1
40101;1
20417;1
31716;1
50323;1
30504;1
31633;1
41715;1
20421;1
31818;1
31818;1
41219;1
41017;1
70101;1
40432;1
40432;1
40614;1
61263;1
50101;1
50101;1
50101;1
50101;1
50101;1
50101;1
50101;1
50101;1
50101;1
50101;1
50101;1
50101;1
50101;1
50101;1
50332;1
50335;1
60669;1
32131;1
10614;1
32132;1
41734;1
30932;1
10413;1
40438;1
50420;1
60350;1
40828;1
50335;1
50337;1
30639;1
32135;1
60651;1
31926;1
20725;1
20201;1
20201;1
20201;1
20201;1
41746;1
20817;1
70364;1
10606;1
40301;1
91701;1
91201;1
90301;1
31633;1
91501;1
91201;1
91301;1
91901;1
91401;1
90301;1
92201;1
92201;1
90301;1
90801;1
91601;1
91301;1
91501;1
90601;1
92301;1
91501;1
91301;1
91201;1
91701;1
90301;1
92301;1
91301;1
91301;1
91301;1
92301;1
90701;1
91601;1
32135;1
90801;1
30401;1
30401;1
80240;1
70531;1
70940;1
60101;1
50101;1
92301;1
